step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
98,160,160000,49,137465,160,3741.564355086535,1294.1465886821486,4689.23461291194,-198.5973857343197,0.5064639,0.002,0.01099085807800293,0.4092400074005127,0.00086777075,0.0038373694,3685.9540679336646,3741.564355086535,4828.053217752823,4470.005616608995
99,160,160000,40,138077,160,3768.5747637778986,1338.7544841830038,4697.037858009338,-194.9276907145977,0.49825144,0.002,0.009439945220947266,0.40689802169799805,0.00086308323,0.0038784929,3694.2161375180885,3768.5747637778986,4828.053217752823,4470.005616608995
100,160,160000,39,136829,160,3748.722052842751,1399.788554658004,4684.086977392435,-193.28960013389587,0.46511018,0.002,0.010469913482666016,0.4043557643890381,0.00090872345,0.0042656846,3699.6667290505547,3748.722052842751,5201.9342889351865,4652.987784690543
101,160,160000,50,132724,160,3625.4917122909333,1441.2679459522783,4632.668176323175,-197.4007706642151,0.5060474,0.002,0.008967876434326172,0.3935708999633789,0.0008406739,0.0037439167,3692.2492273745925,3625.4917122909333,5201.9342889351865,4652.987784690543
102,160,160000,41,140589,160,3877.95867984537,1226.267158969599,4688.5636885762215,-185.71374449133873,0.51097506,0.002,0.009387969970703125,0.41506171226501465,0.00086592144,0.0036707185,3710.8201726216703,3877.95867984537,5201.9342889351865,4652.987784690543
103,160,160000,41,138101,160,3783.809280337021,1333.1592444586818,4642.91803920269,-198.1091549396515,0.41773272,0.002,0.009900331497192383,0.4073753356933594,0.0008494806,0.00486606,3718.1190833932055,3783.809280337021,5201.9342889351865,4652.987784690543
104,160,160000,31,144121,160,3974.402939915052,1150.0884802788783,4672.52358417213,-173.2934893965721,0.42445362,0.002,0.01033782958984375,0.4297306537628174,0.00094898825,0.0052851103,3743.7474690453905,3974.402939915052,5201.9342889351865,4652.987784690543
105,160,160000,29,143419,160,3974.80450155586,1231.0671241456964,4683.534128576517,-192.9175410270691,0.47849104,0.002,0.009468317031860352,0.42163825035095215,0.00085008907,0.0037811622,3766.8531722964376,3974.80450155586,5201.9342889351865,4652.987784690543
106,160,160000,52,134779,160,3702.7075816701167,1341.8706264589991,4721.294763684273,-197.88957238197327,0.5405888,0.002,0.009397745132446289,0.4037511348724365,0.00080901827,0.0033760741,3760.4386132338054,3702.7075816701167,5201.9342889351865,4652.987784690543
107,160,160000,41,138454,160,3826.950593733322,1271.3341116742156,4701.776326924562,-106.97348392009735,0.51523864,0.002,0.00972437858581543,0.4100942611694336,0.0009025425,0.0035397708,3767.089811283757,3826.950593733322,5201.9342889351865,4652.987784690543
108,160,160000,28,141959,160,3955.8437917072324,1300.1910175497767,4727.93837594986,-197.89705967903137,0.4849429,0.002,0.010321855545043945,0.421245813369751,0.0008223469,0.0038215145,3785.9652093261047,3955.8437917072324,5201.9342889351865,4652.987784690543
109,160,160000,49,136796,160,3785.940041334275,1320.8759999413346,4729.424409836531,-162.52970829606056,0.48400724,0.002,0.009646177291870117,0.4044840335845947,0.0008686734,0.0038406588,3785.9626925269217,3785.940041334275,5201.9342889351865,4652.987784690543
