step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
38,160,160000,1,159693,160,4249.706179784471,327.4912589251914,4544.4754891991615,1211.04769949615,1.3970224,0.02,0.009891748428344727,0.3606712818145752,0.0073188893,0.022411142,4021.209624256522,4249.706179784471,4325.575338011224,4329.436956413625
39,160,160000,1,159297,160,4249.364411926176,291.26782147296865,4563.1684101969,1057.0803119540215,2.1667595,0.02,0.00933837890625,0.3598198890686035,0.0061356234,0.006509278,4044.0251030234876,4249.364411926176,4325.575338011224,4329.436956413625
40,160,160000,2,158841,160,4274.358394812676,388.6764679317782,4611.3886913359165,399.7022108733654,1.3485622,0.02,0.008743524551391602,0.3557920455932617,0.007342257,0.022094743,4067.0584322024065,4274.358394812676,4325.575338011224,4329.436956413625
41,160,160000,0,160000,160,4290.912028460065,331.2557332214143,4587.3395489007235,482.3578805103898,1.8625091,0.02,0.009845495223999023,0.3616065979003906,0.0063946205,0.012322824,4089.4437918281724,4290.912028460065,4325.575338011224,4329.436956413625
42,160,160000,0,160000,160,4310.844972749869,303.7516859419126,4649.94474285841,917.4857818596065,1.6103902,0.02,0.008874177932739258,0.3566615581512451,0.007187497,0.014190726,4111.583909920342,4310.844972749869,4325.575338011224,4329.436956413625
43,160,160000,2,159167,160,4315.120372506278,312.25081261078964,4645.666337609291,883.000524431467,1.7059702,0.02,0.008853435516357422,0.35796570777893066,0.006235592,0.00958607,4131.937556178936,4315.120372506278,4325.575338011224,4329.436956413625
44,160,160000,1,159850,160,4358.754248399217,161.6130280627453,4751.22908128798,3430.3552709519863,1.9795331,0.02,0.00912618637084961,0.35845327377319336,0.005069772,0.011300411,4154.619225400964,4358.754248399217,4325.575338011224,4329.436956413625
45,160,160000,1,159877,160,4351.921521726809,308.61440482284377,4688.74048358202,1189.0028964951634,1.4767474,0.02,0.008905410766601562,0.36055994033813477,0.0076474585,0.019928915,4174.349455033549,4351.921521726809,4325.575338011224,4329.436956413625
46,160,160000,2,159300,160,4347.636050552176,292.9196307258106,4682.061350539327,1924.8875502049923,1.7553351,0.02,0.009090185165405273,0.3568000793457031,0.0067146495,0.014041504,4191.678114585412,4347.636050552176,4325.575338011224,4329.436956413625
47,160,160000,2,158642,160,4348.362297286559,400.418825591221,4704.043771415949,442.543281018734,1.0477842,0.02,0.009257793426513672,0.35767602920532227,0.007961298,0.03662993,4207.346532855527,4348.362297286559,4325.575338011224,4329.436956413625
48,160,160000,2,158921,160,4340.422698119376,368.54695366680073,4674.846764802933,403.50435353815556,1.3677447,0.02,0.008850574493408203,0.3594090938568115,0.0068411506,0.019664658,4220.654149381911,4340.422698119376,4325.575338011224,4329.436956413625
49,160,160000,0,160000,160,4365.146536420658,232.95237817613096,4712.075654685497,2192.1958891004324,1.7331573,0.02,0.008831262588500977,0.35672783851623535,0.0063568954,0.0112079345,4235.103388085786,4365.146536420658,4325.575338011224,4329.436956413625
50,160,160000,1,159815,160,4410.684850901668,159.02457228829692,4822.891774356365,3278.2907578349113,2.0173,0.02,0.008999347686767578,0.35793089866638184,0.005947708,0.008099582,4252.661534367374,4410.684850901668,4977.265529732706,4545.379814186653
51,160,160000,0,160000,160,4444.975488486234,143.8216020712908,4704.168690234423,4055.5871811509132,2.1556804,0.02,0.009018659591674805,0.3549075126647949,0.0056421324,0.0075752363,4271.89292977926,4444.975488486234,4977.265529732706,4545.379814186653
52,160,160000,0,160000,160,4478.772315243934,130.9968844347259,4845.270633816719,4069.1239561364055,2.2612998,0.02,0.008864641189575195,0.3597593307495117,0.0054366454,0.006927058,4292.580868325727,4478.772315243934,4977.265529732706,4545.379814186653
53,160,160000,2,158861,160,4436.854187252279,468.4921532680753,4840.431374371052,115.00418683886528,1.140708,0.02,0.009046792984008789,0.3554685115814209,0.0076973536,0.035324663,4307.008200218383,4436.854187252279,4977.265529732706,4545.379814186653
54,160,160000,2,159338,160,4466.515154104401,327.88070866608655,4823.991462081671,1952.139110609889,1.5241437,0.02,0.008924245834350586,0.3588237762451172,0.0068770945,0.015887871,4322.958895606985,4466.515154104401,4977.265529732706,4545.379814186653
55,160,160000,1,159067,160,4469.282820656733,396.19449376822257,4822.675262093544,3.231443911790848,1.7655445,0.02,0.008954524993896484,0.35356712341308594,0.00673286,0.013503969,4337.591288111959,4469.282820656733,4977.265529732706,4545.379814186653
